"Story","Title","Result","Date","Stability","Duration (s)"
"When sign up test","Type invalid year test","FAILURE","2022-12-01T14:52:21.8579427+02:00[EET]","0.0","8.95"
"When sign up test","Type invalid values test","FAILURE","2022-12-01T14:52:32.0332833+02:00[EET]","0.0","8.73"
